alcohol,sulfato,acido citrico,calidad
9.4,0.56,0,5
9.8,0.68,0,5
9.8,0.65,0.04,5
9.8,0.58,0.56,6
9.4,0.56,0,5
9.4,0.56,0,5
9.4,0.46,0.06,5
10,0.47,0,7
9.5,0.57,0.02,7
9.2,0.54,0.08,5
9.9,0.52,0,5
9.1,1.56,0.29,5
10.5,0.75,0.56,7
9.2,1.08,0.51,6
9.7,0.65,0.31,5
9.5,0.91,0.21,5
9.4,0.53,0.11,5
9.7,0.63,0.14,6
9.3,0.56,0.16,5
9.5,0.59,0.24,5
9.4,0.55,0,5
9.8,0.59,0,6
10.1,0.54,0.07,5
9.8,0.66,0.12,5
9.2,0.55,0.25,5
9.6,0.55,0,6
10.8,0.6,0.14,6
9.7,0.73,0.28,7
10.5,0.83,0.36,5
9.3,0.51,0.3,4
10.5,0.9,0.2,6
10.3,1.2,0.22,5
13.1,0.56,0.15,4
9.2,0.73,0.43,5
9.2,0.74,0.26,5
9.4,0.63,0.04,6
9.4,0.64,0.04,6
9.4,0.56,0.36,5
10.2,0.63,0.15,6
9.6,0.63,0.57,5
10,0.59,0.18,5
9.4,0.54,0.31,6
9.2,0.64,0.4,5
9.3,0.71,0.49,5
9.8,0.57,0.05,5
10.9,0.39,0.05,5
10.9,0.39,0.05,5
10.7,0.58,0.07,5
10.5,0.95,0.05,6
9.5,0.48,0.22,5
9.2,0.53,0.26,4
10.5,0.66,0.64,5
10.7,0.55,0,6
10.1,0.52,0.12,5
9.1,1.12,0.2,4
9.2,0.56,0.2,5
9.1,0.57,0.47,5
10.3,0.78,0.48,6
10.1,0.59,0.15,5
9.9,1.95,0.28,6
9.6,0.64,0.26,5
9.5,1.22,0.44,5
9,0.53,0.08,5
9.5,0.54,0.26,5
9.9,1.95,0.28,6
9.6,0.64,0.26,5
10.5,0.48,0.04,4
10.7,0.56,0,5
9.8,0.56,0.06,5
9,0.59,0.18,6
10.2,0.61,0.3,6
9,0.59,0.18,6
9.2,0.51,0.22,5
9.4,0.48,0.24,5
9.2,0.51,0.22,5
9.3,1.31,0.68,5
9.3,0.79,0.31,5
9.5,0.93,0.19,5
9.8,0.66,0.09,5
9.7,0.67,0.44,6
9.5,0.93,0.19,5
10.5,0.63,0.31,6
10,0.61,0.28,6
9,0.57,0.09,5
10.9,0.6,0.04,6
9.2,0.52,0,5
9.5,0.48,0.17,5
10.9,0.49,0,5
10.9,0.48,0,5
10.5,0.92,0.16,7
9.4,0.66,0.56,5
13,0.63,0.09,5
9.9,0.55,0.05,6
9.6,0.82,0.11,5
9.2,0.64,0.36,5
9.6,0.82,0.11,5
14,0.79,0,6
9.4,0.58,0.08,5
14,0.79,0,6
9.4,0.62,0.55,5
10,0.52,0.02,5
10.2,0.58,0.1,6
10.3,0.53,0.47,6
9.4,2,1,4
10.1,0.54,0.03,5
10.1,0.54,0.03,5
10.5,0.71,0.42,5
10.5,0.72,0.42,5
10.5,0.71,0.42,5
9.3,0.5,0,5
9.3,0.57,0.18,6
9.6,0.56,0.03,5
9.2,1.08,0.02,4
10,0.56,0.04,6
9.4,0.49,0.26,5
9.4,0.49,0.26,5
9.5,0.62,0.48,5
10.2,0.52,0.1,5
9,0.48,0.03,4
10.4,0.55,0.07,6
9.1,0.33,0.03,4
9.2,0.61,0.17,6
11.5,0.57,0.05,6
9.5,0.78,0.04,5
9.5,0.47,0.21,5
10.5,0.61,0.42,6
9.6,0.56,0,5
9.5,0.59,0.14,5
9.5,0.59,0.14,5
9.3,1.02,0.49,5
9.3,0.52,0.02,5
9.3,0.58,0.2,5
9.3,0.58,0.21,6
9.7,0.53,0.57,5
9.2,0.55,0.48,5
9.5,0.55,0.33,5
